,,Week 1 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,DEN,TEN,DEN,-7.5,41.5,7.28,17.00,298.30,2.93,0.89,0.64,0.06,0.13,0.06,0.00,0.00
2,PIT,NYJ,PIT,-3.0,38.0,6.79,17.50,296.39,2.74,0.83,0.60,0.06,0.12,0.06,0.00,0.00
3,MIN,CHI,MIN,-1.5,43.0,6.61,20.75,314.62,2.62,0.82,0.58,0.06,0.12,0.06,0.00,0.00
4,CIN,CLE,CIN,-6.0,46.5,6.59,20.25,326.61,2.79,0.89,0.59,0.00,0.07,0.07,0.00,0.00
5,PHI,DAL,PHI,-7.0,46.0,6.51,19.50,316.39,2.54,0.84,0.56,0.06,0.12,0.06,0.00,0.00
6,ARI,NO,ARI,-6.0,42.5,6.48,18.25,299.21,2.76,0.83,0.55,0.00,0.08,0.08,0.00,0.00
7,JAX,CAR,JAX,-3.0,46.0,6.16,21.50,307.19,2.88,0.83,0.60,0.00,0.07,0.00,0.00,0.00
8,WAS,NYG,WAS,-6.0,45.5,6.10,19.75,303.01,2.63,0.77,0.58,0.00,0.06,0.06,0.00,0.00
9,NE,LV,NE,-3.0,42.5,6.00,19.75,315.25,2.76,0.84,0.57,0.00,0.07,0.00,0.00,0.00
10,HOU,LAR,LAR,2.5,44.0,5.95,23.25,341.50,2.39,0.73,0.52,0.05,0.11,0.05,0.00,0.00
11,SF,SEA,SF,-2.5,45.0,5.87,21.25,320.02,2.51,0.78,0.54,0.00,0.06,0.06,0.00,0.00
12,TB,ATL,TB,-2.0,47.5,5.85,22.75,343.19,2.56,0.73,0.55,0.00,0.06,0.06,0.00,0.00
13,KC,LAC,KC,-3.0,45.5,5.84,21.25,342.51,2.33,0.70,0.54,0.05,0.10,0.05,0.00,0.00
14,MIA,IND,IND,1.5,47.0,5.84,24.25,339.43,2.56,0.73,0.55,0.00,0.06,0.06,0.00,0.00
15,LAR,HOU,LAR,-2.5,44.0,5.82,20.75,317.95,2.61,0.71,0.53,0.00,0.06,0.06,0.00,0.00
16,DET,GB,GB,1.5,49.0,5.81,25.25,357.48,2.31,0.69,0.53,0.05,0.11,0.05,0.00,0.00
17,LV,NE,NE,3,42.5,5.71,22.75,342.59,2.61,0.73,0.58,0.00,0.08,0.00,0.00,0.00
18,BAL,BUF,BUF,1,51.5,5.67,26.25,377.36,2.21,0.74,0.49,0.05,0.10,0.05,0.00,0.00
19,NYJ,PIT,PIT,3,38.0,5.66,20.50,313.59,2.24,0.70,0.47,0.00,0.06,0.06,0.00,0.06
20,GB,DET,GB,-1.5,49.0,5.65,23.75,383.08,2.42,0.75,0.52,0.00,0.06,0.06,0.00,0.00
21,BUF,BAL,BUF,-1.0,51.5,5.58,25.25,390.37,2.26,0.66,0.50,0.05,0.10,0.05,0.00,0.00
22,LAC,KC,KC,3,45.5,5.56,24.25,373.58,2.23,0.69,0.46,0.00,0.06,0.06,0.06,0.00
23,IND,MIA,IND,-1.5,47.0,5.54,22.75,333.74,2.40,0.72,0.48,0.00,0.06,0.06,0.00,0.00
24,SEA,SF,SF,2.5,45.0,5.50,23.75,412.84,2.41,0.69,0.52,0.00,0.06,0.06,0.00,0.00
25,DAL,PHI,PHI,7,46.0,5.21,26.50,372.40,2.11,0.65,0.45,0.00,0.05,0.05,0.05,0.00
26,CLE,CIN,CIN,6,46.5,5.06,26.25,371.45,2.25,0.62,0.45,0.00,0.06,0.06,0.00,0.00
27,NO,ARI,ARI,6,42.5,4.99,24.25,358.92,2.15,0.59,0.47,0.00,0.06,0.00,0.00,0.06
28,NYG,WAS,WAS,6,45.5,4.87,25.75,344.36,2.09,0.62,0.46,0.00,0.05,0.05,0.00,0.00
29,ATL,TB,TB,2,47.5,4.76,24.75,373.31,2.18,0.65,0.47,0.00,0.06,0.00,0.00,0.00
30,CAR,JAX,JAX,3,46.0,4.49,24.50,363.57,2.07,0.58,0.46,0.00,0.06,0.00,0.00,0.00
31,TEN,DEN,DEN,7.5,41.5,4.02,24.50,368.33,1.80,0.53,0.42,0.00,0.05,0.00,0.00,0.00
32,CHI,MIN,MIN,1.5,43.0,,22.25,342.71,2.53,0.76,0.51,0.00,0.06,0.06,0.00,
