PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Cleveland Browns,D,CLE,CIN,202,46.50,6.00,20.25,2300,5.20,2.3,33.56
Tyreek Hill,WR,MIA,IND,106,46.50,2.00,22.25,6700,14.55,2.2,20.66
Anthony Richardson,QB,IND,MIA,-125,46.50,-2.00,24.25,5100,0.49,0.1,19.99
Atlanta Falcons,D,ATL,TB,108,48.00,1.50,23.25,2600,4.90,1.9,18.31
Breece Hall,RB,NYJ,PIT,129,38.00,3.00,17.50,6400,12.95,2.0,17.96
Amon-Ra St. Brown,WR,DET,GB,100,49.50,1.50,24.00,7100,16.59,2.3,16.31
Rachaad White,RB,TB,ATL,-127,48.00,-1.50,24.75,5100,8.49,1.7,15.97
Bijan Robinson,RB,ATL,TB,108,48.00,1.50,23.25,8000,17.42,2.2,14.50
Josh Jacobs,RB,GB,DET,-120,49.50,-1.50,25.50,6700,15.67,2.3,14.18
Travis Etienne,RB,JAX,CAR,-153,46.00,-3.00,24.50,5400,10.46,1.9,13.76
Alvin Kamara,RB,NO,ARI,211,42.50,6.00,18.25,6300,14.35,2.3,12.72
Jahmyr Gibbs,RB,DET,GB,100,49.50,1.50,24.00,7700,17.58,2.3,11.96
Joe Mixon,RB,HOU,LAR,121,44.50,2.50,21.00,6200,4.60,0.7,11.92
Jonathan Taylor,RB,IND,MIA,-125,46.50,-2.00,24.25,6800,14.59,2.2,11.68
C.J. Stroud,QB,HOU,LAR,121,44.50,2.50,21.00,6000,15.91,2.7,11.67
New Orleans Saints,D,NO,ARI,211,42.50,6.00,18.25,2400,5.11,2.1,11.62
James Conner,RB,ARI,NO,-257,42.50,-6.00,24.25,6100,13.11,2.2,11.52
Davante Adams,WR,LAR,HOU,-143,44.50,-2.50,23.50,6100,12.58,2.1,11.34
Sam LaPorta,TE,DET,GB,100,49.50,1.50,24.00,5000,11.13,2.2,11.21
Kyren Williams,RB,LAR,HOU,-143,44.50,-2.50,23.50,6500,15.67,2.4,10.86
Trevor Lawrence,QB,JAX,CAR,-153,46.00,-3.00,24.50,5300,18.38,3.5,10.13
Kenneth Walker,RB,SEA,SF,116,45.00,2.50,21.25,5900,10.90,1.9,9.97
Chris Olave,WR,NO,ARI,211,42.50,6.00,18.25,5100,9.72,1.9,9.86
Marvin Harrison,WR,ARI,NO,-257,42.50,-6.00,24.25,5500,12.65,2.3,9.57
Jaylen Waddle,WR,MIA,IND,106,46.50,2.00,22.25,5700,10.70,1.9,9.51
Cooper Kupp,WR,SEA,SF,116,45.00,2.50,21.25,5300,9.94,1.9,9.40
Drake London,WR,ATL,TB,108,48.00,1.50,23.25,6500,14.98,2.3,9.26
Puka Nacua,WR,LAR,HOU,-143,44.50,-2.50,23.50,7600,16.27,2.1,9.15
Michael Pittman,WR,IND,MIA,-125,46.50,-2.00,24.25,4900,9.73,2.0,8.95
Mike Evans,WR,TB,ATL,-127,48.00,-1.50,24.75,6600,15.29,2.3,8.81
Deebo Samuel,WR,WAS,NYG,-284,45.50,-6.00,25.75,5200,11.74,2.3,8.78
Stefon Diggs,WR,NE,LV,-152,42.50,-3.00,22.75,5300,9.78,1.9,8.71
Christian Kirk,WR,HOU,LAR,121,44.50,2.50,21.00,4700,8.87,1.9,8.50
New York Giants,D,NYG,WAS,232,45.50,6.00,19.75,2300,4.97,2.2,8.49
Diontae Johnson,WR,CLE,CIN,202,46.50,6.00,20.25,3900,4.90,1.3,8.45
Ja'Marr Chase,WR,CIN,CLE,-246,46.50,-6.00,26.25,8100,20.08,2.5,8.33
Devin Singletary,RB,NYG,WAS,232,45.50,6.00,19.75,4600,3.46,0.8,8.09
De'Von Achane,RB,MIA,IND,106,46.50,2.00,22.25,6900,17.02,2.5,7.81
Garrett Wilson,WR,NYJ,PIT,129,38.00,3.00,17.50,6300,12.54,2.0,7.59
Romeo Doubs,WR,GB,DET,-120,49.50,-1.50,25.50,4300,6.76,1.6,7.48
Terry McLaurin,WR,WAS,NYG,-284,45.50,-6.00,25.75,6200,14.47,2.3,7.28
David Montgomery,RB,DET,GB,100,49.50,1.50,24.00,5700,10.46,1.8,7.26
Evan Engram,TE,DEN,TEN,-375,41.50,-7.50,24.50,4500,9.64,2.1,7.16
Joe Burrow,QB,CIN,CLE,-246,46.50,-6.00,26.25,6900,20.49,3.0,6.78
Jerome Ford,RB,CLE,CIN,202,46.50,6.00,20.25,5600,4.94,0.9,6.77
Seattle Seahawks,D,SEA,SF,116,45.00,2.50,21.25,2500,5.61,2.2,6.72
Kyle Pitts,TE,ATL,TB,108,48.00,1.50,23.25,4300,7.48,1.7,6.46
DK Metcalf,WR,PIT,NYJ,-152,38.00,-3.00,20.50,5900,11.46,1.9,6.38
